timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-26 20:17:46,EUR/USD OTC,ftt,BUY,0.6733,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BM
2026-05-26 20:17:53,EUR/USD OTC,ftt,BUY,0.6498,200.0,LOSS,-200.0000,5NL|15BL|30BM|60BM
2026-05-26 20:18:00,EUR/USD OTC,ftt,BUY,0.6968,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BM
2026-05-26 20:18:07,EUR/USD OTC,ftt,BUY,0.6655,200.0,LOSS,-200.0000,5NL|15BL|30BM|60BM
2026-05-26 20:18:14,EUR/USD OTC,ftt,BUY,0.6874,200.0,LOSS,-200.0000,5NL|15BL|30BM|60BM
2026-05-26 20:18:21,EUR/USD OTC,ftt,BUY,0.7031,200.0,WIN,164.0000,5NL|15BL|30BH|60BM
2026-05-26 20:18:28,EUR/USD OTC,ftt,BUY,0.7031,200.0,WIN,164.0000,5NL|15BL|30BH|60BM
2026-05-26 20:18:34,EUR/USD OTC,ftt,BUY,0.7532,200.0,WIN,164.0000,5NL|15NL|30BH|60BM
2026-05-26 20:18:41,EUR/USD OTC,ftt,BUY,0.7031,200.0,WIN,164.0000,5NL|15BL|30BH|60BM
2026-05-26 20:18:48,EUR/USD OTC,ftt,BUY,0.7203,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BM
2026-05-26 20:18:55,EUR/USD OTC,ftt,BUY,0.7532,200.0,LOSS,-200.0000,5NL|15NL|30BH|60BM
2026-05-26 20:19:02,EUR/USD OTC,ftt,BUY,0.7203,200.0,LOSS,-200.0000,5NL|15NL|30BM|60BM
2026-05-26 20:19:09,EUR/USD OTC,ftt,BUY,0.7031,200.0,WIN,164.0000,5NL|15BL|30BH|60BM
2026-05-26 20:19:16,EUR/USD OTC,ftt,BUY,0.7532,200.0,WIN,164.0000,5NL|15NL|30BH|60BM
2026-05-26 20:19:22,EUR/USD OTC,ftt,BUY,0.7532,200.0,WIN,164.0000,5NL|15NL|30BH|60BM
2026-05-26 20:19:29,EUR/USD OTC,ftt,BUY,0.7532,200.0,WIN,164.0000,5NL|15NL|30BH|60BM
2026-05-26 20:19:36,EUR/USD OTC,ftt,BUY,0.7203,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:19:43,EUR/USD OTC,ftt,BUY,0.7203,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:19:50,EUR/USD OTC,ftt,BUY,0.7203,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:19:57,EUR/USD OTC,ftt,BUY,0.6968,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:20:04,EUR/USD OTC,ftt,BUY,0.6639,200.0,WIN,164.0000,5NL|15NL|30BM|60BM
2026-05-26 20:20:25,EUR/USD OTC,ftt,BUY,0.9077,200.0,WIN,164.0000,5SL|15NL|30BL|60BM
2026-05-26 20:20:32,EUR/USD OTC,ftt,SELL,0.7895,200.0,LOSS,-200.0000,5SL|15SL|30BL|60NL
2026-05-26 20:20:44,EUR/USD OTC,ftt,SELL,0.7848,200.0,LOSS,-200.0000,5SL|15SL|30BL|60NL
2026-05-26 20:20:51,EUR/USD OTC,ftt,SELL,0.7848,200.0,LOSS,-200.0000,5SL|15SL|30BL|60NL
2026-05-26 20:20:58,EUR/USD OTC,ftt,SELL,0.7989,200.0,LOSS,-200.0000,5SL|15SL|30BL|60NL
2026-05-26 20:21:05,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:11,EUR/USD OTC,ftt,SELL,0.7848,200.0,WIN,164.0000,5SL|15SL|30BL|60NL
2026-05-26 20:21:18,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:25,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:32,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:39,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:46,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:21:53,EUR/USD OTC,ftt,BUY,0.9894,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:21:59,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:22:06,EUR/USD OTC,ftt,BUY,0.6053,200.0,WIN,164.0000,5NL|15NL|30BL|60NL
2026-05-26 20:22:13,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5NL|15BL|30BL|60NL
2026-05-26 20:22:20,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5BL|15NL|30BL|60NL
2026-05-26 20:22:27,EUR/USD OTC,ftt,BUY,0.6564,200.0,WIN,164.0000,5BM|15BM|30BL|60NL
2026-05-26 20:22:34,EUR/USD OTC,ftt,BUY,0.6005,200.0,LOSS,-200.0000,5BL|15NL|30BL|60NL
2026-05-26 20:22:41,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5BM|15NL|30BL|60NL
2026-05-26 20:22:47,EUR/USD OTC,ftt,BUY,0.6532,200.0,LOSS,-200.0000,5BM|15NL|30BL|60NL
2026-05-26 20:22:54,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5BM|15NL|30BL|60NL
2026-05-26 20:23:01,EUR/USD OTC,ftt,BUY,0.6279,200.0,LOSS,-200.0000,5BM|15BL|30BL|60NL
2026-05-26 20:23:08,EUR/USD OTC,ftt,BUY,0.6874,200.0,LOSS,-200.0000,5BM|15NL|30BL|60NL
